strike,oi,ltp,iv,gamma,gamma_exp
23650.0,555,1206.8333333333333,1.0727489564565094,1.83709773541738e-05,-0.28262824766664735
23700.0,6481,1184.1916666666666,1.0724332732709443,2.0922537695109355e-05,-4.536745000929456
23750.0,2903,1170.2250000000001,0.21817758208052393,3.519222265479016e-05,-5.259797121689019
23800.0,11020,1152.6333333333332,0.36755649597658874,3.9789169335823766e-05,-15.502329285967578
23850.0,2300,1153.3625,0.6356411239640857,4.2591561512903224e-05,-1.1010381802559663
23900.0,7339,1132.1666666666667,0.6727611561465241,3.794746256134663e-05,-7.994562481600803
23950.0,2822,1015.9538461538463,0.5441108725744612,3.310976624042439e-05,-1.4724207121411028
24000.0,189256,921.6821428571428,0.1703326719874661,4.2653144571475545e-05,-281.79995631024457
24050.0,3427,977.8576923076923,0.22442116689133346,4.134172304819047e-05,-1.4341635908779566
24100.0,8817,956.4307692307692,0.3061973846843672,4.360953390086633e-05,-8.70704261573877
24150.0,3233,934.5,0.31552760721544637,4.9804995419955345e-05,-0.9414503139142318
24200.0,26600,908.0769230769231,0.17569027088822475,4.718877148898939e-05,-34.00345221664456
24250.0,2818,868.9192307692307,0.18552238188907963,6.0056244184014645e-05,-2.3697122809927156
24300.0,26408,867.5769230769231,0.17743727160185319,5.9319675985713815e-05,-25.18719285672194
24350.0,4188,845.2115384615385,0.21120894520744435,6.175146503718058e-05,-3.417969208476531
24400.0,26533,821.7846153846154,0.27983375876833966,6.7031496990102e-05,-28.1648869561208
24450.0,5807,780.676923076923,0.16869398864212218,7.01078937321846e-05,-5.473361624411705
24500.0,138419,784.0307692307692,0.2043709158863106,7.099199651382068e-05,-238.00121124477923
24550.0,6419,757.3038461538462,0.1934069759067638,7.519946161042158e-05,-5.6676587354937
24600.0,43258,733.2538461538461,0.2656381977059764,8.345400335921994e-05,-76.2615083241601
24650.0,6760,689.4230769230769,0.908309507035497,7.989868447189053e-05,-8.86028125318317
24700.0,68315,680.876923076923,0.5268309229072854,8.182606318074828e-05,-157.03717413289888
24750.0,10384,671.1346153846154,0.149655575383033,9.53484198113487e-05,-16.303462224093938
24800.0,90825,648.0461538461539,0.17231100054115608,9.517782694585575e-05,-228.77448425246973
24850.0,12906,631.4423076923077,0.20920603367888535,0.00010585934551089346,-23.121032689402085
24900.0,74471,585.7153846153847,0.5393497444715332,0.00010075282686810456,-170.21493163401306
24950.0,18408,575.5846153846153,0.5327155686788746,0.0001009058432901924,-17.472111258867727
25000.0,385489,848.0732142857144,0.1389705739347366,9.580384855368419e-05,-1002.1563741397005
25050.0,28725,552.8230769230769,0.20916527939398344,0.00014929503934511316,-30.458022566971604
25100.0,97744,521.373076923077,0.13843803866550167,0.00012074574360654652,-244.81079601252193
25150.0,33394,504.31538461538463,0.17414792388170855,0.0001459966740989275,-56.47718753946213
25200.0,146898,484.65384615384613,0.5158923076923077,0.00015106236784450424,-401.0231804252278
25250.0,40015,465.1269230769231,0.1330150001021076,0.0001699555402281748,-67.35708932078602
25300.0,144979,447.0692307692307,0.1396440167918974,0.00021041212529257318,-370.7666175751827
25350.0,47485,439.00384615384615,0.1388357150082698,0.00023033454804247558,-132.9456660403225
25400.0,151826,389.1928571428571,0.11936435714285713,0.00023374211876421745,-706.4936772116973
25450.0,65128,395.11153846153843,0.1288260069501575,0.00027373587220547526,-119.2770502941902
25500.0,280630,359.9642857142857,0.11774292857142857,0.0002741442368177975,-1422.4719060454554
25550.0,59398,336.8357142857143,0.11481477694384382,0.00029548842926284185,-179.8847928044026
25600.0,178784,329.67857142857144,0.11214292857142857,0.00031843820224372723,-738.5722012119265
25650.0,81113,314.46785714285716,0.11150251441335692,0.00033682779458067854,-175.50291346762282
25700.0,218152,347.375,0.1143,0.0003952272636962597,-793.9860674361325
25750.0,114772,292.90714285714284,0.1088018161373362,0.0003799571755487004,-301.91261072154276
25800.0,278542,321.2642857142857,0.1121,0.00044244575465647595,-1021.5478894707959
25850.0,130154,309.525,0.11094285714285713,0.00048419441110597556,-1098.6630905389727
25900.0,337390,300.0607142857143,0.11082142857142856,0.0006349699715847064,-9179.047375252881
25950.0,183928,287.975,0.11088500580242575,0.0010235958779717576,-13079.84814938619
26000.0,734131,706.2716666666668,0.10889871271633719,0.0007161608968797886,17526.345970454848
26050.0,145946,280.5857142857143,0.10964285714285714,0.001306648221614789,21469.8315150981
26100.0,253381,279.3392857142857,0.10959285714285714,0.0008534034802540168,16394.85819031871
26150.0,101724,279.61428571428576,0.10964285714285714,0.0005813109937975243,2239.4360061739885
26200.0,258529,258.56428571428575,0.10184292857142858,0.0004775667274085541,2627.773061564256
26250.0,97427,259.48928571428576,0.10097864285714286,0.0004631973544868665,347.01817110528566
26300.0,180351,262.84285714285716,0.10257150000000001,0.0004473255140939873,1209.2943208381978
26350.0,83181,268.33214285714286,0.10374292857142857,0.0004295049214928969,273.9065841273025
26400.0,141438,305.0214285714286,0.11305714285714286,0.0004456954725330472,1073.770186405817
26450.0,44080,280.79285714285714,0.10705721428571428,0.00039374291974156187,208.57952487622654
26500.0,288545,323.25714285714287,0.11595714285714286,0.0004051934486298184,1856.9860016312002
26550.0,37329,318.2807692307692,0.11276161538461538,0.00033585967000075413,122.92146201608347
26600.0,117092,330.5692307692307,0.12036923076923077,0.0003567422030279135,775.7682485495937
26650.0,32327,337.37692307692305,0.12126930769230769,0.00029932197961654935,98.58985447962351
26700.0,120415,355.4576923076923,0.12410769230769231,0.00031329162227984245,583.8205982969165
26750.0,24886,361.8384615384615,0.1260923846153846,0.0002656811321307126,104.96496625935433
26800.0,120296,380.09230769230766,0.1350846153846154,0.0002703553322020943,490.36534715737486
26850.0,23314,387.34230769230766,0.12461553846153846,0.00020153798640636247,51.75369586967504
26900.0,81398,432.9384615384616,0.13075924822580084,0.00020256090782173316,213.78876297931546
26950.0,24055,441.36153846153843,0.33156341985152626,0.0001803484183117065,32.40341199046636
27000.0,371183,606.153448275862,0.10189454599188713,0.00013256939262649522,1679.2759663611614
27050.0,16323,480.38461538461536,0.3615590074943468,0.00019079442798591842,18.231373383468174
27100.0,53685,493.88461538461536,0.25747008402802884,0.00014022264397796686,118.38760211569597
27150.0,12449,513.9923076923077,0.3746347106950591,0.00014094982507873322,8.128171939872097
27200.0,47740,515.6769230769231,0.15002315384615386,0.00013216348774657604,113.26097387291887
